"Path","Data.Type","Start.Date","End.Date"
"C:/Users/shuye/Documents/GitHub/Learning-R/Sample Data/landcover_NLCD.tif","Elevation",NA,NA
"C:/Users/shuye/Documents/GitHub/Learning-R/Sample Data/peak_forage_quality_2007_JulianDate.tif","Foraging",NA,NA
